# "Wavelength (nm)","σ (cm^2)"
174.2,5.4699999997e-17
174.4,2.8300000002e-17
174.6,1.3200000002e-17
174.8,7.5200000007e-18
175,6.5700000003e-18
175.2,8.147216e-18
175.4,7.726099e-18
175.6,6.674635e-18
175.8,5.380005e-18
176,4.341562e-18
176.2,3.683937e-18
176.4,3.264353e-18
176.6,3.011957e-18
176.8,2.837497e-18
177,2.770245e-18
177.2,2.914946e-18
177.4,3.126606e-18
177.6,3.4117e-18
177.8,3.519855e-18
178,3.073057e-18
178.2,2.427865e-18
178.4,2.061431e-18
178.6,1.824596e-18
178.8,1.675858e-18
179,1.56684e-18
179.2,1.474437e-18
179.4,1.43438e-18
179.6,1.429702e-18
179.8,1.501318e-18
180,1.607566e-18
180.2,1.628202e-18
180.4,1.451418e-18
180.6,1.154846e-18
180.8,9.13453e-19
181,7.981788e-19
181.2,7.226336e-19
181.4,6.804468e-19
181.6,6.45379e-19
181.8,6.391344e-19
182,6.92379e-19
182.2,7.765486e-19
182.4,8.767627e-19
182.6,9.10144e-19
182.8,8.096658e-19
183,6.366276e-19
183.2,4.70299e-19
183.4,3.583887e-19
183.6,3.014968e-19
183.8,2.714931e-19
184,2.502192e-19
184.2,2.342213e-19
184.4,2.248443e-19
184.6,2.267612e-19
184.8,2.485792e-19
185,2.983531e-19
185.2,3.694488e-19
185.4,3.985551e-19
185.6,3.349793e-19
185.8,2.468428e-19
186,1.873054e-19
186.2,1.523076e-19
186.4,1.297223e-19
186.6,1.128147e-19
186.8,1.023201e-19
187,9.642559e-20
187.2,9.534078e-20
187.4,9.719188e-20
187.6,1.025028e-19
187.8,1.15084e-19
188,1.343402e-19
188.2,1.433301e-19
188.4,1.247945e-19
188.6,9.349608e-20
188.8,7.191696e-20
189,6.127906e-20
189.2,5.371699e-20
189.4,4.72916e-20
189.6,4.388927e-20
189.8,4.250027e-20
190,4.383718e-20
190.2,4.765374e-20
190.4,5.247576e-20
190.6,5.535668e-20
190.8,5.338898e-20
191,4.904177e-20
191.2,4.242967e-20
191.4,3.544841e-20
191.6,2.838457e-20
191.8,2.469458e-20
192,2.143028e-20
192.2,1.816121e-20
192.4,1.641931e-20
192.6,1.467424e-20
192.8,1.21085e-20
193,1.18369e-20
193.2,1.25534e-20
193.4,1.43822e-20
193.6,1.78474e-20
193.8,2.1985700001e-20
194,2.24731e-20
194.2,1.72404e-20
194.4,1.20043e-20
194.6,8.9099e-21
194.8,6.97353e-21
195,5.65792e-21
195.2,4.78947e-21
195.4,4.22232e-21
195.6,3.82222e-21
195.8,3.69432e-21
196,3.49584e-21
196.2,3.46014e-21
196.4,3.61161e-21
196.6,4.05393e-21
196.8,4.81966e-21
197,5.87953e-21
197.2,6.2349e-21
197.4,5.21012e-21
197.6,3.94686e-21
197.8,3.2023e-21
198,2.58552e-21
198.2,1.9468e-21
198.4,1.53718e-21
198.6,1.32743e-21
198.8,1.21398e-21
199,1.15145e-21
199.2,1.11922e-21
199.4,1.11281e-21
199.6,1.13936e-21
199.8,1.20027e-21
200,1.29809e-21
200.2,1.37248e-21
200.4,1.34495e-21
200.6,1.19552e-21
200.8,1.01887e-21
201,8.91554e-22
201.2,7.91451e-22
201.4,6.49648e-22
201.6,4.87406e-22
201.8,3.78902e-22
202,3.17026e-22
202.2,2.77717e-22
202.4,2.51451e-22
202.6,2.42976e-22
202.8,2.58191e-22
203,2.91156e-22
203.2,3.45568e-22
203.4,4.11699e-22
203.6,4.34025e-22
203.8,3.72055e-22
204,2.89035e-22
204.2,2.28946e-22
204.4,1.95361e-22
204.6,1.68699e-22
204.8,1.4022e-22
205,1.14651e-22
205.2,9.57572e-23
205.4,8.14194e-23
205.6,6.87026e-23
205.8,6.1089e-23
206,5.42258e-23
206.2,5.25242e-23
206.4,5.25409e-23
206.6,5.59737e-23
206.8,6.61146e-23
207,7.9628e-23
207.2,8.81487e-23
207.4,8.53436e-23
207.6,7.65603e-23
207.8,6.65692e-23
208,5.34178e-23
208.2,4.0367e-23
208.4,2.91591e-23
208.6,2.12567e-23
