"Wavelength (nm)","σ (cm^2)"
214.2,1.3999e-19
214.4,9.543e-20
214.6,8.094e-20
214.8,7.473e-20
215,7.837e-20
215.2,8.246e-20
215.4,9.025e-20
215.6,1.1741e-19
215.8,1.8188e-19
216,3.6981e-19
216.2,7.2e-19
216.4,7.6833e-19
216.6,6.3293e-19
216.8,1.19495e-18
217,8.962e-19
217.2,7.5347e-19
217.4,4.751e-19
217.6,2.8993e-19
217.8,1.6476e-19
218,9.222e-20
218.2,5.405e-20
218.4,3.342e-20
218.6,2.591e-20
218.8,1.783e-20
219,1.404e-20
219.2,1.23e-20
219.4,1.29e-20
219.6,1.289e-20
219.8,1.474e-20
220,1.786e-20
220.2,2.542e-20
220.4,4.863e-20
220.6,9.94e-20
220.8,1.1864e-19
221,8.313e-20
221.2,1.4951e-19
221.4,1.3103e-19
221.6,9.132e-20
221.8,6.089e-20
222,3.539e-20
222.2,2.266e-20
222.4,1.562e-20
222.6,1.081e-20
222.8,6.32e-21
223,4.12e-21
223.2,3.5e-21
223.4,3.65e-21
223.6,5.78e-21
223.8,1.001e-20
224,1.482e-20
224.2,1.056e-20
224.4,9.68e-21
224.6,1.757e-20
224.8,1.275e-20
225,9.2e-21
225.2,6.13e-21
225.4,4.21e-21
225.6,3.05e-21
225.8,1.89e-21
226,1.01e-21
226.2,6.53e-22
226.4,5.29e-22
226.6,2.52e-22
226.8,2.4e-22
227,1.63e-22
227.2,1.41e-22
227.4,1.19e-22
227.6,1.25e-22
227.8,1.28e-22
228,1.01e-22
228.2,1.04e-22
228.4,9.77e-23
228.6,1.09e-22
228.8,7.19e-23
229,5.07e-23
229.2,4.56e-23
229.4,3.81e-23
229.6,3.25e-23
229.8,2.79e-23
230,2.51e-23
230.2,3.5154857134e-21
230.4,1.8047069305e-20
230.6,1.322240917e-20
230.8,1.0975e-20
231,1.0975e-20
231.2,1.0975e-20
231.4,1.0975e-20
231.6,1.0975e-20
231.8,1.0975e-20
232,1.0975e-20
232.2,1.0975e-20
234.8,1.0975e-20
235,1.0975e-20
235.2,1.0975e-20
235.4,1.0975e-20
235.6,1.0975e-20
235.8,1.0975e-20
236,1.0975e-20
236.2,1.0975e-20
236.4,1.0975e-20
236.6,1.0975e-20
236.8,1.0975e-20
237,1.0975e-20
237.2,1.0975e-20
237.4,1.0975e-20
237.6,1.0975e-20
237.8,1.0975e-20
238,1.0975e-20
238.2,1.0975e-20
238.4,1.0975e-20
238.6,1.0975e-20
238.8,1.0975e-20
241.4,1.0975e-20
243.8,1.0975e-20
