Index PRESSURE   CH2OH      CH3O       CH3OH      HCCO       H2CCO      C2H3O      CH3CHO     C2H4OH     HO2        H2O2    
 160  2.249E-02   1.197E-05  3.178E-07  4.105E-07  9.672E-07  7.767E-07  3.210E-13  1.823E-15  1.157E-19  2.458E-01  1.306E-03
 161  1.644E-02   5.078E-06  1.482E-07  1.396E-07  2.458E-07  1.431E-07  6.393E-14  4.033E-16  5.436E-21  3.178E-01  9.897E-04
 162  1.201E-02   2.500E-06  7.877E-08  5.633E-08  1.048E-07  4.705E-08  2.178E-14  1.091E-16  2.199E-22  3.664E-01  7.492E-04
 163  8.770E-03   2.074E-06  6.863E-08  3.972E-08  9.022E-08  3.324E-08  1.526E-14  5.361E-17  1.438E-23  3.830E-01  5.685E-04
 164  6.400E-03   7.910E-06  2.666E-07  1.338E-07  3.755E-07  1.168E-07  5.212E-14  1.304E-16  1.977E-23  3.610E-01  4.282E-04
 165  4.671E-03   4.765E-05  1.652E-06  7.100E-07  2.382E-06  6.364E-07  2.801E-13  4.915E-16  8.086E-23  3.327E-01  3.188E-04
 166  3.409E-03   2.429E-04  8.729E-06  3.183E-06  1.290E-05  2.978E-06  1.350E-12  1.561E-15  5.409E-22  3.163E-01  2.407E-04
 167  2.492E-03   9.999E-04  3.740E-05  1.150E-05  5.706E-05  1.140E-05  5.567E-12  4.025E-15  5.564E-21  3.068E-01  1.866E-04
 168  1.823E-03   3.349E-03  1.306E-04  3.368E-05  2.076E-04  3.578E-05  1.982E-11  8.562E-15  5.063E-20  2.998E-01  1.488E-04
 169  1.337E-03   9.156E-03  3.721E-04  8.009E-05  6.227E-04  9.218E-05  6.362E-11  1.552E-14  3.287E-19  2.915E-01  1.208E-04
