Index   PRESSURE   C3H5       C3H6       C3H7       C3H8       C4H        C4H2       C4H3       C4H4       C4H5       C4H6    
 149   4.433E-01   8.160E+00  9.141E-01  4.185E-06  3.118E-01  2.089E-08  8.958E-01  3.044E-02  1.800E+00  8.548E-03  2.989E-01
 150   3.176E-01   8.977E+00  6.426E-01  2.706E-06  1.702E-01  7.090E-08  2.349E+00  8.354E-02  6.157E+00  2.067E-02  6.445E-01
 151   2.273E-01   9.636E+00  4.325E-01  1.755E-06  8.999E-02  2.515E-07  6.660E+00  2.538E-01  2.359E+01  5.600E-02  1.559E+00
 152   1.626E-01   1.256E+01  3.148E-01  1.137E-06  4.496E-02  1.020E-06  2.189E+01  8.835E-01  9.494E+01  1.568E-01  3.928E+00
 153   1.163E-01   1.296E+01  2.012E-01  7.197E-07  2.051E-02  4.441E-06  7.684E+01  3.132E+00  3.580E+02  4.027E-01  9.147E+00
 154   8.334E-02   1.259E+01  1.229E-01  4.544E-07  8.633E-03  1.722E-05  2.449E+02  9.527E+00  1.107E+03  8.393E-01  1.732E+01
 155   5.961E-02   1.095E+01  6.895E-02  2.803E-07  3.216E-03  5.271E-05  6.286E+02  2.182E+01  2.526E+03  1.284E+00  2.392E+01
 156   4.263E-02   7.923E+00  3.240E-02  1.475E-07  9.489E-04  1.119E-04  1.137E+03  3.301E+01  3.770E+03  1.292E+00  2.136E+01
 157   3.049E-02   4.547E+00  1.165E-02  5.393E-08  1.880E-04  1.547E-04  1.329E+03  3.064E+01  3.448E+03  8.061E-01  1.155E+01
 158   2.183E-02   2.105E+00  3.337E-03  1.341E-08  2.512E-05  1.484E-04  1.041E+03  1.839E+01  2.040E+03  3.296E-01  3.969E+00
 159   1.562E-02   8.823E-01  8.932E-04  2.828E-09  2.809E-06  1.290E-04  6.759E+02  8.953E+00  9.809E+02  1.112E-01  1.097E+00
 160   1.119E-02   3.951E-01  2.708E-04  6.944E-10  3.692E-07  1.620E-04  5.331E+02  5.228E+00  5.574E+02  4.473E-02  3.497E-01
 161   8.025E-03   2.068E-01  9.916E-05  2.277E-10  6.441E-08  3.668E-04  6.069E+02  4.377E+00  4.530E+02  2.594E-02  1.577E-01
 162   5.761E-03   1.165E-01  4.000E-05  9.552E-11  1.439E-08  1.169E-03  8.886E+02  4.692E+00  4.667E+02  1.916E-02  8.890E-02
 163   4.146E-03   6.844E-02  1.694E-05  4.690E-11  3.673E-09  4.246E-03  1.456E+03  5.625E+00  5.359E+02  1.583E-02  5.657E-02
 164   2.991E-03   3.806E-02  6.874E-06  2.386E-11  9.653E-10  1.509E-02  2.486E+03  7.024E+00  6.028E+02  1.282E-02  3.517E-02
 165   2.166E-03   1.736E-02  2.319E-06  9.335E-12  1.950E-10  6.749E-02  5.853E+03  1.218E+01  5.535E+02  8.487E-03  1.791E-02
 166   1.575E-03   5.498E-03  5.253E-07  1.476E-12  1.647E-11  2.093E-01  1.004E+04  1.531E+01  2.751E+02  3.042E-03  4.843E-03
 167   1.148E-03   1.567E-03  1.050E-07  1.726E-13  1.072E-12  3.778E-01  1.041E+04  1.162E+01  1.088E+02  8.662E-04  1.005E-03
 168   8.405E-04   4.238E-04  2.007E-08  1.803E-14  6.446E-14  5.458E-01  8.987E+03  7.371E+00  3.890E+01  2.231E-04  1.846E-04
 169   6.172E-04   1.089E-04  3.711E-09  1.858E-15  3.965E-15  6.821E-01  6.978E+03  4.215E+00  1.336E+01  5.517E-05  3.160E-05
 170   4.549E-04   2.690E-05  6.691E-10  1.894E-16  2.487E-16  7.679E-01  5.005E+03  2.234E+00  4.471E+00  1.326E-05  5.161E-06
