Index PRESSURE   N          N2         NH         NH2        NH3        N2H        N2H2       H2NN       N2H3       N2H4    
 159  3.077E-02   1.422E+06  7.247E+09  7.862E+04  2.323E+04  4.039E+04  4.516E-02  5.650E-07  2.296E-09  4.295E-09  4.252E-14
 160  2.249E-02   1.141E+06  5.078E+09  5.900E+04  1.479E+04  1.982E+04  2.982E-02  3.642E-07  1.766E-09  1.240E-09  1.128E-14
 161  1.644E-02   8.988E+05  3.572E+09  4.290E+04  9.186E+03  9.743E+03  1.911E-02  2.339E-07  1.291E-09  3.757E-10  3.436E-15
 162  1.201E-02   7.124E+05  2.524E+09  3.110E+04  5.739E+03  4.952E+03  1.189E-02  1.443E-07  8.750E-10  1.261E-10  1.153E-15
 163  8.770E-03   5.850E+05  1.791E+09  2.304E+04  3.678E+03  2.634E+03  7.228E-03  8.459E-08  5.469E-10  4.851E-11  4.093E-16
 164  6.400E-03   5.086E+05  1.276E+09  1.775E+04  2.452E+03  1.485E+03  4.305E-03  4.660E-08  3.117E-10  2.228E-11  1.507E-16
 165  4.671E-03   4.735E+05  9.102E+08  1.489E+04  1.812E+03  9.447E+02  2.520E-03  2.570E-08  1.776E-10  1.237E-11  6.017E-17
 166  3.409E-03   4.711E+05  6.468E+08  1.370E+04  1.492E+03  6.735E+02  1.461E-03  1.462E-08  1.060E-10  7.970E-12  2.673E-17
 167  2.492E-03   4.935E+05  4.589E+08  1.345E+04  1.321E+03  5.176E+02  8.443E-04  8.501E-09  6.526E-11  5.712E-12  1.345E-17
 168  1.823E-03   5.359E+05  3.252E+08  1.376E+04  1.219E+03  4.141E+02  4.869E-04  4.983E-09  4.068E-11  4.374E-12  7.673E-18
 169  1.337E-03   5.971E+05  2.304E+08  1.437E+04  1.145E+03  3.356E+02  2.808E-04  2.917E-09  2.531E-11  3.483E-12  4.832E-18
 170  9.812E-04   6.740E+05  1.631E+08  1.505E+04  1.070E+03  2.689E+02  1.617E-04  1.687E-09  1.549E-11  2.802E-12  3.184E-18
 171  7.220E-04   7.726E+05  1.153E+08  1.599E+04  1.008E+03  2.149E+02  9.335E-05  9.867E-10  9.656E-12  2.247E-12  2.171E-18
